sofifa_id;player_url;short_name;age;dob;height_cm;weight_kg;nationality;club;overall;value_eur;wage_eur;preferred_foot;release_clause_eur;team_position;team_jersey_number;joined;contract_valid_until;pace;shooting;passing;dribbling;defending;physic;gk_diving;gk_handling;gk_kicking;gk_reflexes;gk_speed;gk_positioning
158023;https://sofifa.com/player/158023/lionel-messi/20/159586;L. Messi;32;24/06/1987;170;72;Argentina;FC Barcelona;94;95500000;565000;Left;195800000;RW;10;01/07/2004;2021;87;92;92;96;39;66;;;;;;
20801;https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586;Cristiano Ronaldo;34;05/02/1985;187;83;Portugal;Juventus;93;58500000;405000;Right;96500000;LW;7;10/07/2018;2022;90;93;82;89;35;78;;;;;;
190871;https://sofifa.com/player/190871/neymar-da-silva-santos-jr/20/159586;Neymar Jr;27;05/02/1992;175;68;Brazil;Paris Saint-Germain;92;105500000;290000;Right;195200000;CAM;10;03/08/2017;2022;91;85;87;95;32;58;;;;;;
200389;https://sofifa.com/player/200389/jan-oblak/20/159586;J. Oblak;26;07/01/1993;188;87;Slovenia;Atlético Madrid;91;77500000;125000;Right;164700000;GK;13;16/07/2014;2023;;;;;;;87;92;78;89;52;90
183277;https://sofifa.com/player/183277/eden-hazard/20/159586;E. Hazard;28;07/01/1991;175;74;Belgium;Real Madrid;91;90000000;470000;Right;184500000;LW;7;01/07/2019;2024;91;83;86;94;35;66;;;;;;
192985;https://sofifa.com/player/192985/kevin-de-bruyne/20/159586;K. De Bruyne;28;28/06/1991;181;70;Belgium;Manchester City;91;90000000;370000;Right;166500000;RCM;17;30/08/2015;2023;76;86;92;86;61;78;;;;;;
192448;https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586;M. ter Stegen;27;30/04/1992;187;85;Germany;FC Barcelona;90;67500000;250000;Right;143400000;GK;1;01/07/2014;2022;;;;;;;88;85;88;90;45;88
203376;https://sofifa.com/player/203376/virgil-van-dijk/20/159586;V. van Dijk;27;08/07/1991;193;92;Netherlands;Liverpool;90;78000000;200000;Right;150200000;LCB;4;01/01/2018;2023;77;60;70;71;90;86;;;;;;
177003;https://sofifa.com/player/177003/luka-modric/20/159586;L. Modrić;33;09/09/1985;172;66;Croatia;Real Madrid;90;45000000;340000;Right;92300000;RCM;10;01/08/2012;2020;74;76;89;89;72;66;;;;;;
209331;https://sofifa.com/player/209331/mohamed-salah/20/159586;M. Salah;27;15/06/1992;175;71;Egypt;Liverpool;90;80500000;240000;Left;148900000;RW;11;01/07/2017;2023;93;86;81;89;45;74;;;;;;
231747;https://sofifa.com/player/231747/kylian-mbappe/20/159586;K. Mbappé;20;20/12/1998;178;73;France;Paris Saint-Germain;89;93500000;155000;Right;191700000;RW;7;01/07/2018;2022;96;84;78;90;39;75;;;;;;
201024;https://sofifa.com/player/201024/kalidou-koulibaly/20/159586;K. Koulibaly;28;20/06/1991;187;89;Senegal;Napoli;89;67500000;150000;Right;119800000;LCB;26;01/07/2014;2021;71;28;54;67;89;87;;;;;;
202126;https://sofifa.com/player/202126/harry-kane/20/159586;H. Kane;25;28/07/1993;188;89;England;Tottenham Hotspur;89;83000000;220000;Right;159800000;ST;10;01/07/2010;2024;70;91;79;81;47;83;;;;;;
212831;https://sofifa.com/player/212831/alisson-ramses-becker/20/159586;Alisson;26;02/10/1992;191;91;Brazil;Liverpool;89;58000000;155000;Right;111700000;GK;1;19/07/2018;2024;;;;;;;85;84;85;89;51;90
193080;https://sofifa.com/player/193080/david-de-gea-quintana/20/159586;De Gea;28;07/11/1990;192;82;Spain;Manchester United;89;56000000;205000;Right;110600000;GK;1;01/07/2011;2020;;;;;;;90;84;81;92;58;85
215914;https://sofifa.com/player/215914/ngolo-kante/20/159586;N. Kanté;28;29/03/1991;168;72;France;Chelsea;89;66000000;235000;Right;130400000;RCM;7;16/07/2016;2023;78;65;77;81;87;83;;;;;;
138956;https://sofifa.com/player/138956/giorgio-chiellini/20/159586;G. Chiellini;34;14/08/1984;187;85;Italy;Juventus;89;24500000;215000;Left;40400000;LCB;3;01/07/2005;2020;68;46;58;60;90;82;;;;;;
153079;https://sofifa.com/player/153079/sergio-aguero/20/159586;S. Agüero;31;02/06/1988;173;70;Argentina;Manchester City;89;60000000;300000;Right;111000000;ST;10;28/07/2011;2021;80;90;77;88;33;74;;;;;;
155862;https://sofifa.com/player/155862/sergio-ramos-garcia/20/159586;Sergio Ramos;33;30/03/1986;184;82;Spain;Real Madrid;89;31500000;300000;Right;64600000;LCB;4;01/08/2005;2020;72;68;75;73;87;85;;;;;;
176580;https://sofifa.com/player/176580/luis-suarez/20/159586;L. Suárez;32;24/01/1987;182;86;Uruguay;FC Barcelona;89;53000000;355000;Right;108700000;ST;9;11/07/2014;2021;73;89;80;84;51;84;;;;;;
188545;https://sofifa.com/player/188545/robert-lewandowski/20/159586;R. Lewandowski;30;21/08/1988;184;80;Poland;FC Bayern München;89;64500000;235000;Right;106400000;ST;9;01/07/2014;2021;77;87;74;85;41;82;;;;;;
189511;https://sofifa.com/player/189511/sergio-busquets-burgos/20/159586;Sergio Busquets;30;16/07/1988;189;76;Spain;FC Barcelona;89;55000000;300000;Right;112800000;CDM;5;01/09/2008;2023;42;62;80;80;85;80;;;;;;
194765;https://sofifa.com/player/194765/antoine-griezmann/20/159586;A. Griezmann;28;21/03/1991;176;73;France;FC Barcelona;89;69000000;370000;Left;141500000;LW;17;12/07/2019;2024;81;86;84;89;57;72;;;;;;
